Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
3 Minute French - Course 1 | Language lessons for beginners,www.udemy.com/course/3-minute-french-full-course-1/,Kieran Ball,199.99,11.99,"4.6(3,213 ratings)",Teaching & Academics,Language,French Language,"13,858",English,Learn to speak French you can use in everyday real-world situations - all in just 3-minute chunks!,10/2019,12/30/19
3 Minute French - Course 2 | Language lessons for beginners,www.udemy.com/course/3-minute-french-course-2/,Kieran Ball,199.99,11.39,4.6(524 ratings),Teaching & Academics,Language,French Language,"4,797",English,Build on from the French skills you learnt in Course 1 and learn how to communicate in even more situations,10/2019,12/30/19
Practice and Perfect your French - Intermediate Level (HD),www.udemy.com/course/intermediate-french-master-the-past-tenses/,Anne Le Grand,99.99,11.39,"4.7(1,004 ratings)",Teaching & Academics,Language,French Language,"6,545",English,100% in French - Improve your 4 CECR skills and master the main past tenses with NATIVE French teacher,11/2019,12/30/19
Sound Like a Native - French Pronunciation Full Course (HD),www.udemy.com/course/frenchpronunciation/,Anne Le Grand,99.99,11.39,4.7(598 ratings),Teaching & Academics,Language,French Language,"3,244",English,Improve your French pronunciation and listening skills with NATIVE French teacher - 100% in French,12/2019,12/30/19
Français Intensif - Intensive French Course for Beginners,www.udemy.com/course/francais-intensif-intensive-french-course-for-beginners/,Kamil Pakula,29.99,11.39,4.5(540 ratings),Teaching & Academics,Language,French Language,"3,014",English,Master all the ins and outs of the French language.,6/2019,12/30/19
3 Minute French - Course 3 | Language lessons for beginners,www.udemy.com/course/3-minute-french-course-3/,Kieran Ball,199.99,11.39,4.7(216 ratings),Teaching & Academics,Language,French Language,"3,072",English,"Build on from the knowledge you learnt in Courses 1 and 2, and learn how to communicate in even more situations.",10/2019,12/30/19
The French Subjunctive - Full Course - Intermediate Level,www.udemy.com/course/french-subjunctive/,Anne Le Grand,99.99,13.19,4.8(194 ratings),Teaching & Academics,Language,French Language,"1,978",English,"Master the French subjunctive, 100% in French, with Native teacher",11/2019,12/30/19
French for Beginners : Level 1,www.udemy.com/course/french-for-beginner-course-level-1/,French Toast,24.99,11.39,"4.6(1,236 ratings)",Teaching & Academics,Language,French Language,"7,053",English,Learn French with Julie : your charming native French teacher. Focus on conversation and practical French.,11/2014,12/30/19
3 Minute French - Course 4 | Language lessons for beginners,www.udemy.com/course/3-minute-french-course-4/,Kieran Ball,199.99,11.39,4.5(129 ratings),Teaching & Academics,Language,French Language,"2,322",English,"Build on from the knowledge you learnt in Courses 1, 2 and 3, and learn how to communicate in even more situations.",10/2019,12/30/19
Français Intensif - Intensive French Intermediate Level,www.udemy.com/course/francais-intensif-intensive-french-intermediate-level/,Kamil Pakula,34.99,11.39,4.3(81 ratings),Teaching & Academics,Language,French Language,"1,279",English,Dive Deeper into the French language.,5/2018,12/30/19
"French for you, French course for beginners and intermediate",www.udemy.com/course/french-for-you-course-for-beginners-and-false-beginners/,Michel Cioffi,49.99,12.50,4.3(15 ratings),Personal Development,Other,French Language,381,English,French language course for beginners but also for those who have a rough knowledge and want to improve their skills.,8/2019,12/30/19
Conversational French Made Easy,www.udemy.com/course/conversational-french-made-easy/,Esteban Perez Rodriguez,144.99,12.59,4.7(781 ratings),Teaching & Academics,Language,French Language,"7,292",English,Learn French with this intuitive and fast French learning method that will have you speaking French from day one,1/2018,12/30/19
3 Minute French - Course 5 | French lessons for beginners,www.udemy.com/course/3-minute-french-course-5/,Kieran Ball,199.99,11.39,4.8(38 ratings),Teaching & Academics,Language,French Language,"1,406",English,"Build on from the knowledge you learnt in Courses 1, 2, 3 and 4, and learn how to communicate in even more situations.",10/2019,12/30/19
3 Minute French - Course 6 | Language lessons for beginners,www.udemy.com/course/3-minute-french-course-6/,Kieran Ball,199.99,11.39,4.4(15 ratings),Teaching & Academics,Language,French Language,913,English,"Build on from the knowledge you learnt in Courses 1-5, and learn how to communicate in even more situations.",8/2019,12/30/19
Building Structures in French - Structure 1 | French Grammar,www.udemy.com/course/building-structures-in-french-structure-1/,Kieran Ball,199.99,11.39,4.6(165 ratings),Teaching & Academics,Language,French Language,"2,213",English,Learn about how the French language is put together by breaking it down into its different sentence structures.,10/2019,12/30/19
Get My Official French DELF B2 Certificate + PDF Cheat Sheet,www.udemy.com/course/the-ultimate-french-keywords-workshop-2018/,Christophe Daniel Ternay Native French Teacher Certified by The French Alliance,99.99,11.39,4.1(75 ratings),Teaching & Academics,Test Prep,French Language,508,English,French speaking hacked (Native Teacher) - French pronunciation Secrets - (French Delf B2 Exam Cheat Sheet Included),11/2019,12/30/19
Learn French for Beginners: The Ultimate 80-Lesson Course,www.udemy.com/course/learn-french-for-beginners/,Innovative Language,24.99,11.99,4.6(156 ratings),Teaching & Academics,Language,French Language,"1,210",English,"You learn French minutes into your first lesson. Learn to speak, read and write with 80 video lessons by real teachers.",3/2018,12/30/19
Building Structures in French - Structure 4,www.udemy.com/course/building-structures-in-french-structure-4/,Kieran Ball,199.99,11.99,4.4(7 ratings),Teaching & Academics,Language,French Language,925,English,Learn about how the French language is put together by breaking it down into its different sentence structures,10/2019,12/30/19
Get My Official French DELF A1 Certificate + PDF Cheat Sheet,www.udemy.com/course/complete-french-course-for-beginners/,Christophe Daniel Ternay Native French Teacher Certified by The French Alliance,99.99,11.99,3.9(28 ratings),Teaching & Academics,Test Prep,French Language,780,English,French 28 Days Challenge - Delf A1 Vocabulary in Context - Pronunciation with a Native French Speaker - Incl Cheat Sheet,10/2019,12/30/19
Building Structures in French - Structure 2,www.udemy.com/course/building-structures-in-french-structure-2/,Kieran Ball,199.99,11.99,4.4(44 ratings),Teaching & Academics,Language,French Language,935,English,Learn about how the French language is put together by breaking it down into its different sentence structures.,10/2019,12/30/19
Master French grammar like a pro - with the Classroom Method,www.udemy.com/course/french-grammar-for-absolute-beginners/,French Academy,199.99,11.99,3.7(95 ratings),Teaching & Academics,Language,French Language,"1,520",English,"Discover the easy way to learn perfect French grammar, with the method the natives use to learn classroom-style!",3/2017,12/30/19
French Level 1: A Complete Guide to Master the French Basics,www.udemy.com/course/frenchone/,"Dillon March, MA",199.99,11.99,4.4(487 ratings),Teaching & Academics,Language,French Language,"8,379",English,"Learn and master the basics of the French Language for travel, work, and study.",7/2019,12/30/19
French for Beginners. The Complete Method. Course 1.,www.udemy.com/course/french-for-beginners-the-complete-method-level-1/,Peter Hanley,19.99,11.99,4.2(46 ratings),Teaching & Academics,Language,French Language,231,English,"Learn French painlessly: The complete, non-stop SPEAKING French language course: Mastery of the basics for beginners.",5/2019,12/30/19
Building Structures in French - Structure 3,www.udemy.com/course/building-structures-in-french-structure-3/,Kieran Ball,199.99,11.99,4.7(19 ratings),Teaching & Academics,Language,French Language,"1,021",English,Learn about how the French language is put together by breaking it down into its different sentence structures.,6/2019,12/30/19
French Phonetics 101 - Part 1. French Language for Beginners,www.udemy.com/course/french-phonetics-101-ultimate-guide-for-beginners-part-1/,Learn French Online,119.99,19.99,4.8(36 ratings),Teaching & Academics,Language,French Language,196,English,"Reading Rules Made Easy. The most complete guide for beginners in French Language. 5% of theory, 95% of practice (HD)",7/2019,12/30/19
Fun French Course 1,www.udemy.com/course/french-course-1-dive-into-the-past-with-the-present-perfect/,Cécile Besrest-Butler,49.99,11.99,4.8(19 ratings),Teaching & Academics,Language,French Language,145,English,For people determined to speak everyday conversational French.,4/2018,12/30/19
Ultimate French For Beginner - Complete DELF A1 Level,www.udemy.com/course/ultimate-french-for-beginner-complete-delf-a1-level/,Jignesh A Patel,199.99,11.99,3.2(36 ratings),Teaching & Academics,Language,French Language,297,English,You will learn french so easily & gain confidence to communicate in french from day one - Including Grammar DELF A1,7/2018,12/30/19
French Grammar - Quick Guide - Verbs 1,www.udemy.com/course/french-grammar-quick-guide-verbs-1/,Kieran Ball,199.99,11.99,4.6(23 ratings),Teaching & Academics,Language,French Language,817,English,"Learn how to use the ""going"" future, past and present tenses in French",7/2019,12/30/19
Fun French Course 2,www.udemy.com/course/french-course-2-irregular-verbs-in-perfect-a-past-tense/,Cécile Besrest-Butler,89.99,11.99,4.8(11 ratings),Teaching & Academics,Language,French Language,114,English,Giving you the tools to speak conversational French with confidence,6/2019,12/30/19
Learn to Speak: Conversational French - French For Beginners,www.udemy.com/course/learnfrench/,Scott McElroy,94.99,11.99,4.2(369 ratings),Teaching & Academics,Language,French Language,"11,211",English,"A French Course for beginners, with the emphasis on Coversational French and no tricky grammar to worry about!",7/2015,12/30/19
French Phonetics 101-Part 2. French Language for Beginners,www.udemy.com/course/french-phonetics-101-part-2/,Learn French Online,69.99,19.99,4.8(10 ratings),Teaching & Academics,Language,French Language,77,English,"Reading Rules Made Easy. The most complete guide for beginners in French Language. 5% of theory, 95% of practice (HD)",4/2019,12/30/19
Fun French Foundations,www.udemy.com/course/fun-french-foundations/,Cécile Besrest-Butler,79.99,11.99,4.9(54 ratings),Teaching & Academics,Language,French Language,182,English,"Learn tips for confidence in speaking French, alphabet, pronunciation, noun genders, greetings, numbers, dates & time.",10/2019,12/30/19
Fun French Course 3,www.udemy.com/course/fun-french-course-3/,Cécile Besrest-Butler,94.99,11.39,5.0(2 ratings),Teaching & Academics,Language,French Language,44,English,Present Perfect with Ãtre,6/2019,12/30/19
French Online: Use Past Tenses in French like a Native -1,www.udemy.com/course/easy-french-online-how-to-use-passe-compose-and-imparfait/,Learn French Online,44.99,18.99,4.7(14 ratings),Teaching & Academics,Language,French Language,78,English,PassÃ© ComposÃ© vs Imparfait - PART 1: Learn French Past Tenses. 100% practical Course. Captioned in ENG & FR.,3/2019,12/30/19
Français Intensif - French for Absolute Beginners,www.udemy.com/course/francais-intensif-french-for-beginners/,Kamil Pakula,34.99,11.39,3.9(4 ratings),Teaching & Academics,Language,French Language,21,English,Get Started with French and Have Fun,10/2019,12/30/19
French for Beginners : Enjoy and Master the Essentials,www.udemy.com/course/french-for-beginners-enjoy-and-master-the-essentials/,Benoit KUHLER,169.99,11.39,4.8(13 ratings),Personal Development,Other,French Language,74,English,"The fundamentals with a dynamic, pleasant and efficient method",7/2019,12/30/19
Take your French to the next level with Spoken French,www.udemy.com/course/french-for-beginners-with-spokenfrench/,Spoken French,44.99,11.39,4.1(86 ratings),Teaching & Academics,Language,French Language,"1,172",English,Improve drastically your French through learning spoken French,3/2016,12/30/19
French Level 2: Building Blocks of French,www.udemy.com/course/frenchtwo/,"Dillon March, MA",199.99,11.39,3.7(15 ratings),Teaching & Academics,Language,French Language,"1,205",English,Build on your basic knowledge of the French language.,4/2015,12/30/19
French Tenses Simplified: Master the 10 Main Tenses Quickly!,www.udemy.com/course/frenchtensemastery/,Scott McElroy,94.99,11.39,4.4(51 ratings),Teaching & Academics,Language,French Language,"4,507",English,French tenses can be tough - Lot's to remember and so little time. Master them Quickly with this comprehensive course!,2/2015,12/30/19
Improve your French fluency and comprehension with stories,www.udemy.com/course/improve-your-french-fluency-and-comprehension-with-stories/,Jeffrey Rudolph,199.99,11.39,4.0(221 ratings),Teaching & Academics,Language,French Language,"10,171",English,"Improve your listening, speaking, and understanding by simply reading stories.",1/2017,12/30/19
LEARN FRENCH IN 3 MONTHS  --  First Month,www.udemy.com/course/learn-french-fast/,Michael Beck,19.99,11.39,4.4(37 ratings),Teaching & Academics,Language,French Language,268,English,A fast and efficient program to speak french like french people.,1/2017,12/30/19
French 5 Days Challenge: French for Beginners,www.udemy.com/course/french-course-for-beginners/,Christophe Daniel Ternay Native French Teacher Certified by The French Alliance,24.99,11.39,4.5(55 ratings),Teaching & Academics,Language,French Language,"4,327",English,Learn French Pronunciation with a Native French Speaker - French Listening - French Reading - French A1 Level in Context,5/2019,12/30/19
French Online: Use Past Tenses in French like a Native - 2,www.udemy.com/course/learn-french-online-use-past-tenses-in-french-like-a-native/,Learn French Online,24.99,18.99,4.9(6 ratings),Teaching & Academics,Language,French Language,47,English,PART2: PassÃ© ComposÃ© vs Imparfait: Learn French Past Tenses. 100% practical Course. Captioned in FR.,1/2019,12/30/19
Learn 500 French Words with Flashcards and Make Sentences,www.udemy.com/course/learn-500-french-words-with-flashcards-and-make-sentences/,M Ajmir GOOLAM HOSSEN,149.99,11.39,4.0(18 ratings),Teaching & Academics,Language,French Language,168,English,Build a vocabulary of 500 words with Flashcards and Learn to easily make sentences,1/2017,12/30/19
"LEARN FRENCH : Speak, Read and Travel with French!",www.udemy.com/course/learn-french-speak-read-and-travel-with-french/,Chanel Bouchard,34.99,11.39,4.2(7 ratings),Teaching & Academics,Language,French Language,642,English,Master French with Chanel Bouchard!,6/2019,12/30/19
Learn French... in French 1: start to learn the language,www.udemy.com/course/learn-french-lessons-to-start-to-speak-the-french-language/,Alain de Raymond,29.99,11.39,4.4(13 ratings),Teaching & Academics,Language,French Language,582,English,"How to learn French: pronunciation, grammar, phrases, vocabulary, French verbs and words. French online for beginners.",6/2019,12/30/19
Finally Get It In French Grammar,www.udemy.com/course/finally-get-it-in-french-grammar/,Kerstin Cable,39.99,11.39,4.4(34 ratings),Teaching & Academics,Language,French Language,600,English,A Complete A1 Grammar Guide with easy English explanations and examples,9/2015,12/30/19
French Words: The unconventional full immersion,www.udemy.com/course/french-vocabulary-immersion-the-ultimate-liste-501/,Stephane Levier,179.99,11.39,4.1(64 ratings),Teaching & Academics,Language,French Language,769,English,Quickly absorb the most important vocabulary - Fast track your results !,2/2017,12/30/19
Learn French! Start Speaking French Now!,www.udemy.com/course/lets-speak-french/,Nada El Maliki,44.99,11.99,4.4(5 ratings),Teaching & Academics,Language,French Language,"1,134",English,The foundation that you need to start speaking in French thanks to a brain & learner - friendly method.,3/2019,12/30/19
Essential French Tenses,www.udemy.com/course/essentialfrenchtenses/,Jad Rajab,139.99,11.99,4.2(11 ratings),Teaching & Academics,Language,French Language,677,English,Simple and Easy...Learn about the 5 most used French tenses,2/2018,12/30/19
"Learn French in English: start to speak, read and understand",www.udemy.com/course/learn-french-from-0-start-to-speak-read-and-understand/,Alain de Raymond,19.99,11.99,4.6(18 ratings),Teaching & Academics,Language,French Language,274,English,"Learning step by step French words today: translate to French, how to speak French, learn French online, French grammar",7/2018,12/30/19
The 100 most common verbs in French,www.udemy.com/course/the-100-most-common-verbs-in-french/,Felix Brassier,0.0,19.99,5.0(1 rating),Teaching & Academics,Language,French Language,28,English,Learn the verbs in sentences,8/2018,12/30/19
Learn French for beginners with a native speaker A1,www.udemy.com/course/learn-french-from-scratch-with-a-native-speaker-12/,Florent Guglielmetti,24.99,11.99,0.0(0 ratings),Teaching & Academics,Language,French Language,7,English,Get well prepared for your DELF A1 with a professional teacher A1 1.1,10/2019,12/30/19
Conversational French 1: Master Spoken French for Beginners,www.udemy.com/course/frenchconversation1/,"Dillon March, MA",199.99,11.99,3.9(14 ratings),Teaching & Academics,Language,French Language,"4,135",English,A conversational French course for beginners who want to finally learn spoken French.,7/2019,12/30/19
The Ultimate Guide to Street French | All levels,www.udemy.com/course/the-ultimate-guide-to-street-french/,Benjamin Manoir,19.99,11.99,4.9(3 ratings),Teaching & Academics,Language,French Language,23,English,Learn The French Of Everyday Life,11/2018,12/30/19
French through Music,www.udemy.com/course/french-through-music/,Desta Haile,49.99,11.99,4.6(3 ratings),Teaching & Academics,Language,French Language,"1,030",English,Learn French through great songs!,11/2018,12/30/19
Quickest Way To Speak French,www.udemy.com/course/quickest-way-to-pronounce-french-correctly/,Creisson Soni,34.99,11.99,5.0(3 ratings),Teaching & Academics,Language,French Language,13,English,Use English-rooted words to pronounce French words,1/2018,12/30/19
Learning French & English listen as RADIO rather watch easy.,www.udemy.com/course/learning-french-faster-for-easy-communication/,Rudy M. Roda,199.99,11.99,3.5(7 ratings),Teaching & Academics,Other Teaching & Academics,French Language,"1,030",English,Quick way to be able to speak and write French. Students can play on any device and listen as RADIO too. How great is it,8/2019,12/30/19
Methodological course to learn and speak Arabic and French,www.udemy.com/course/methodological-course-to-learn-and-speak-arabic-and-french/,Amin Kh,144.99,11.99,5.0(1 rating),Teaching & Academics,Language,Arabic Language,25,English,Amazing 2 IN 1 Course,2/2019,12/30/19
700 Mots Français and You,www.udemy.com/course/700frenchwords/,Jad Rajab,139.99,11.99,4.6(11 ratings),Teaching & Academics,Language,French Language,77,English,Live the magic that is French,12/2017,12/30/19
The Quick French Vocabulary Guide For Busy Beginners: Part 1,www.udemy.com/course/frenchtastic-2-minute-french-vocabulary-lessons-for-the-lazy-learner/,Herman Koutouan,19.99,11.99,4.6(30 ratings),Teaching & Academics,Language,French Language,477,English,For busy French learners who want to learn basic but essential French expressions without sacrificing their sanity.,5/2015,12/30/19
