Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"Instagram Marketing 2020: A Step-By-Step to 10,000 Followers",www.udemy.com/course/instagram-marketing-for-small-businesses/,Benjamin Wilson,199.99,19.79,"4.5(16,275 ratings)",Marketing,Social Media Marketing,Instagram Marketing,"91,920",English,"Attract Hyper-Targeted Instagram Followers, Convert Followers to Paying Customers, & Expand your Brand Using Instagram",11/2019,01/01/20
Instagram Marketing 2020: Grow from 0 to 40k in 4 months,www.udemy.com/course/instagram-masterclass-grow-your-account-complete-guide/,Evan Kimbrell,199.99,19.19,"4.5(4,623 ratings)",Marketing,Social Media Marketing,Instagram Marketing,"62,923",English,"Watch me take an account from an idea to 40k followers in 4 months. 14 hours instruction, 8 hours of BTS videos",12/2019,01/01/20
The Complete Instagram Marketing Masterclass,www.udemy.com/course/instagram-marketing-training/,Diego Davila,199.99,14.39,"4.4(1,207 ratings)",Marketing,Social Media Marketing,Instagram Marketing,"7,209",English,"Become an Instagram leader, crush your competitors, dominate Instagram Marketing and create a raving fans community.",10/2019,01/01/20
Instagram Marketing Masterclass 2020,www.udemy.com/course/instagram-masterclass-marketing/,Robin & Jesper | Digital Marketing Professionals,199.99,11.39,4.4(245 ratings),Business,Entrepreneurship,Instagram Marketing,"1,588",English,Get Targeted Instagram Followers & Convert Followers to Paying Customers to Expand your Brand Using Instagram Marketing,12/2019,01/01/20
Become a God of Instagram Marketing Step by Step proven ways,www.udemy.com/course/become-a-god-of-instagram-marketing-get-followers-pouyaeti-masterclass/,Pouya Eti • Digital Marketing Expert,194.99,11.99,4.4(753 ratings),Marketing,Social Media Marketing,Instagram Marketing,"4,088",English,"Instagram marketing strategies for business, create pro Instagram posts, create viral posts, Automate your Instagram",2/2019,01/01/20
10 Instagram Marketing Strategies That Make Me 6-Figures,www.udemy.com/course/instagramstrategies/,Nik Swami,99.99,11.39,4.5(914 ratings),Marketing,Social Media Marketing,Instagram Marketing,"4,346",English,"Fast growth through powerful Instagram marketing. For influencers, entrepreneurs, businesses and organizations in 2019.",11/2019,01/01/20
Instagram Marketing: How I Grew To 2 Million Followers 2020,www.udemy.com/course/monetize-instagram-how-i-grew-over-2-million-followers-2020/,Nick Toteda,199.99,11.39,4.5(43 ratings),Marketing,Social Media Marketing,Instagram Marketing,199,English,"Attract Targeted Instagram Followers, Create a Raving Fan Community, & Expand your Brand Using Instagram marketing",11/2019,01/01/20
2020 Complete Instagram Marketing Masterclass: Become a Pro,www.udemy.com/course/instagram-marketing-3-tip-get-real-instagram-followers-course-learn/,Pouya Eti • Digital Marketing Expert,199.99,11.39,"4.4(1,540 ratings)",Marketing,Social Media Marketing,Instagram Marketing,"23,798",English,"20 Instagram Marketing Strategies to Grow a Page, Get Real Followers, Sell Online Using Instagram Marketing Sales Funnel",10/2019,01/01/20
InstaFamous - Instagram Marketing 2019 Followers To Profit,www.udemy.com/course/instafamous-instagram-marketing-2019-followers-to-profit/,Jun Wu - Instagram Influencer,199.99,11.99,4.6(336 ratings),Marketing,Social Media Marketing,Instagram Marketing,"1,245",English,Instagram Marketing Tips; Instagram Tutorial; Instagram Growth Strategy; Instagram Tips; Get Instagram Followers Fast,10/2019,01/01/20
Instagram Marketing: Turn Likes Into A Profitable Business,www.udemy.com/course/instagram-marketing-turn-likes-into-a-profitable-business/,Rhiannon Duffin,149.99,11.39,4.5(33 ratings),Marketing,Digital Marketing,Instagram Marketing,260,English,"How I organically grew my Instagram account to over 40k followers, and turned a hobby into a profitable business",8/2019,01/01/20
How To Become a Paid Influencer on Instagram in 2020,www.udemy.com/course/new-how-to-become-a-paid-influencer-on-instagram-in-2019/,Ryan Kucey,19.99,11.39,4.3(26 ratings),Marketing,Content Marketing,Instagram Marketing,136,English,"With as little as 1,000 followers, learn how to earn an income and get paid to try free products on social media.",5/2019,01/01/20
Monetize your Instagram as an Instagram Influencer 2020,www.udemy.com/course/make-money-on-instagram-as-an-influencer/,⭐ António Araújo ⭐,99.99,15.59,4.4(843 ratings),Business,Home Business,Instagram Marketing,"5,650",English,How to Grow and Monetize your Instagram : Step by Step Guide to start a business with your Instagram account,11/2019,01/01/20
"Instagram Domination: Build Your Brand To 10,000+ Followers",www.udemy.com/course/instagram-domination-build-your-brand-to-10000-followers/,Sophie A (SuperSoph),199.99,11.39,4.4(221 ratings),Marketing,Social Media Marketing,Instagram Marketing,"1,773",English,"Instagram Marketing 2020 Masterclass. Attract clients & get REAL followers. Step-by-step practical advice, hacks+secrets",7/2019,01/01/20
Instagram Business - Sell On Instagram - Customer Psychology,www.udemy.com/course/instabusiness-instagram-marketing-2019-customer-psychology/,Jun Wu - Instagram Influencer,199.99,11.39,4.8(67 ratings),Marketing,Social Media Marketing,Business Strategy,"8,334",English,How To Use Instagram For Business : Instagram Business Strategy : Start Business - Instagram : Instagram Business Page,8/2019,01/01/20
How to Turn Instagram into a Business,www.udemy.com/course/how-to-make-money-on-instagram/,Bryan Guerra,179.99,11.39,3.2(525 ratings),Marketing,Social Media Marketing,Instagram Marketing,"34,038",English,"How to grow a following quickly, monetize an audience, & fully automate the business",9/2019,01/01/20
How I Got Famous On Instagram In Just A Few Months!,www.udemy.com/course/get-instagram-famous/,Rob Level,99.99,13.19,4.0(955 ratings),Marketing,Social Media Marketing,Instagram Marketing,"4,260",English,Gain 100's of REAL Instagram Followers A DAY using secrets that celebrities and influencers use to gain MILLIONS of fans,9/2018,01/01/20
Instagram Ads 2019 Masterclass,www.udemy.com/course/instagram-ads-masterclass/,Ali Mirza,149.99,11.39,4.5(56 ratings),Marketing,Social Media Marketing,Instagram Marketing,403,English,"Master Instagram Ads to drive conversions, measure ROI and grow your business via Instagram marketing",11/2018,01/01/20
How to build a Six Figure Business with Instagram,www.udemy.com/course/visceral-instagram-marketing-for-business-and-profit/,Dave Rotheroe,0.0,194.99,4.4(40 ratings),Business,Media,Instagram Marketing,288,English,A step by step guide to actually making money with proven 6 figure Hacks and Techniques anyone can follow.,9/2016,01/01/20
Free Instagram Followers + How to Get More Followers,www.udemy.com/course/free-instagram-followers/,COURSE ENVY,49.99,11.99,4.6(81 ratings),Marketing,Social Media Marketing,Instagram Marketing,"2,331",English,Learn how to get more followers on Instagram with our top-rated Instagram marketing course! Get free followers today!,3/2019,01/01/20
Instagram Marketing for Business: How To SELL On Instagram!!,www.udemy.com/course/instagram-business-domination/,Brian McCracken,199.99,11.39,3.5(138 ratings),Business,Media,Instagram Marketing,682,English,"Instagram Business Marketing. Instagram Sales, Instagram Followers, GET STARTED Marketing On Instagram for Business!",6/2018,01/01/20
Instagram Business Marketing Game Plan 10k+ Paying Customers,www.udemy.com/course/instagameplan/,Deanna Dunn,199.99,11.39,5.0(4 ratings),Marketing,Social Media Marketing,Instagram Marketing,27,English,"2019 Game Plan: How to gain thousands of targeted, interested followers, hacking the algorithm & Done-For-You Tools",9/2019,01/01/20
Instagram Marketing For Newbies and Small Accounts,www.udemy.com/course/instagram-marketing-for-newbies/,Ali Mirza,169.99,11.39,4.7(6 ratings),Marketing,Social Media Marketing,Instagram Marketing,165,English,How to grow your business on Instagram even if you have a small account,7/2019,01/01/20
Instagram Marketing 101 - How to use Instagram for Business,www.udemy.com/course/instagram-marketing-101-how-to-use-instagram-for-business/,Frici Barabas,199.99,11.39,4.0(279 ratings),Marketing,Social Media Marketing,Instagram Marketing,"18,220",English,"Learn how to get leads from Instagram, Create an Instagram account and attract targeted followers on Instagram",10/2019,01/01/20
