Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
User Experience Design Essentials - Adobe XD UI UX Design,www.udemy.com/course/ui-ux-web-design-using-adobe-xd/,Daniel Walter Scott,199.99,11.39,"4.6(11,374 ratings)",Design,User Experience,User Experience Design,"49,150",English,"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design",5/2019,12/31/19
Learn Figma - UI/UX Design Essential Training,www.udemy.com/course/learn-figma/,Caleb Kingston,119.99,11.39,"4.5(1,786 ratings)",Design,User Experience,User Interface,"8,806",English,Learn how to design a beautiful and engaging mobile app with Figma. Learn-by-doing approach.,3/2019,12/31/19
DESIGN RULES: Principles + Practices for Great UI Design,www.udemy.com/course/design-rules/,Joe Natoli,99.99,11.39,"4.6(3,437 ratings)",Design,Web Design,User Interface,"14,226",English,"Learn to design powerful user interfaces for apps, sites and systems",5/2018,12/31/19
UI & Web Design using Adobe Illustrator CC,www.udemy.com/course/ui-web-design-using-adobe-illustrator-2017/,Daniel Walter Scott,199.99,11.39,"4.6(1,693 ratings)",Design,Web Design,User Interface,"10,469",English,Build professional web & app designs using Adobe Illustrator CC,7/2019,12/31/19
"Adobe XD UI/UX Design, prototype, and handoff from scratch",www.udemy.com/course/learn-adobe-xd-ux-designing-and-prototyping-from-scratch/,Caleb Kingston,119.99,11.99,4.6(687 ratings),Design,User Experience,Prototyping,"3,832",English,Learn how to design and prototype apps and webpages using Adobe XD,10/2018,12/31/19
Creative Layout Design for Websites and Mobile Apps,www.udemy.com/course/creative-layout-design-for-websites-and-mobile-apps/,Muhammad Ahsan Pervaiz,99.99,11.39,4.5(23 ratings),Design,Graphic Design,User Interface,202,English,Design more engaging and attractive layout for your Websites and Mobile Apps and stop making simple boxed layout,10/2019,12/31/19
The Complete Flutter UI Masterclass | iOS & Android in Dart,www.udemy.com/course/the-complete-flutter-ui-masterclass/,Marcus Ng,29.99,11.39,4.4(27 ratings),Development,Mobile Apps,Mobile Development,258,English,Learn how to build beautiful and comprehensive iOS and Android user interfaces using Flutter and Dart!,12/2019,12/31/19
Typography for Designers & Developers - Don't suck at design,www.udemy.com/course/typography-mastery-for-ui-designers-and-developers/,Muhammad Ahsan Pervaiz,99.99,11.39,4.2(468 ratings),Design,Web Design,Typography,"4,381",English,"Shift your boring designs to Dribbble level by learning Font Pairing, Web Typography, App Typography & Vertical Rhythm",12/2019,12/31/19
Adobe Xd Animation - Complete Guide From Icons To UI,www.udemy.com/course/adobe-xd-animation-complete-guide-from-icons-to-ui/,Aleksandar Cucukovic,199.99,11.39,4.8(8 ratings),Design,User Experience,User Experience Design,229,English,Everything you need to know about animation in Adobe Xd.,10/2019,12/31/19
Figma for UI Designers,www.udemy.com/course/figma-for-ui-designers/,Greg Rog,29.99,11.39,4.1(41 ratings),Design,Design Tools,User Interface,400,English,Work efficiently and Collaborate on UI Design,2/2018,12/31/19
Sketch App - Modern UI Design,www.udemy.com/course/sketch-app-modern-ui-design/,Greg Rog,59.99,11.39,4.5(203 ratings),Design,Graphic Design,User Interface,"1,279",English,Design User Interfaces for Apps & Web,8/2018,12/31/19
Create HUD graphics in After Effects and Illustrator,www.udemy.com/course/hud-interface-animation-in-after-effects-and-illustrator/,Motion School,164.99,11.39,4.8(118 ratings),Design,3D & Animation,After Effects,"1,138",English,Design and Animate HUD Interface using After Effects and Illustrator,6/2018,12/31/19
UI Design with Photoshop from Beginner to Expert in 15 days,www.udemy.com/course/learn-photoshop-for-ui-design-from-scratch/,Muhammad Ahsan Pervaiz,199.99,11.39,4.4(913 ratings),Design,Design Tools,User Interface,"7,973",English,Ultimate guide for Beginners to learn Photoshop & User Interface Design for Web Design & Mobile App Design in two week,3/2019,12/31/19
Become a UI/UX Designer | Everything You need to know,www.udemy.com/course/become-a-ui-designer/,HU Shahir,94.99,11.39,3.9(217 ratings),Design,User Experience,User Interface,"1,211",English,"Complete guide to UI and UX basics and UI Design , Motion , Interactive Prototype and Weekly Tutorials.",7/2017,12/31/19
Principle App - UI Prototyping,www.udemy.com/course/principle-app-ui-prototyping/,Greg Rog,34.99,11.39,4.7(144 ratings),Design,Design Tools,Prototyping,575,English,Animate your Mobile or Web UI and add Micro Interactions,2/2018,12/31/19
Mobile UI and UX Design,www.udemy.com/course/mobile-ui-and-ux-design/,Stone River eLearning,19.99,11.39,4.0(129 ratings),Design,User Experience,User Experience Design,"2,079",English,Make your mobile UI design pop and understand the mobile UX process,2/2017,12/31/19
Modern UI Development in Unity 4.6/5.0,www.udemy.com/course/modern-ui-development-in-unity-46-or-50/,3D BUZZ Programming and Digital Art training,19.99,11.99,4.6(96 ratings),Development,Game Development,Unity,"1,101",English,This series goes over the core concepts of Unity's UI system and also shows the creation of an entire game using the UI.,5/2015,12/31/19
Mobile App Design In Sketch 3: UX and UI Design From Scratch,www.udemy.com/course/the-complete-design-course/,Rob Percival,199.99,11.39,"4.5(2,747 ratings)",None,None,None,None,None,None,None,None
Scilab: The First Course [Beginners to Intermediate],www.udemy.com/course/scilab-the-first-course-beginners-to-intermediate/,Tahir Yaqub,39.99,11.39,4.6(19 ratings),IT & Software,Other,User Interface,362,English,With a touch of theory behind commands,8/2019,12/31/19
User Experience Design For Mobile Apps & Websites (UI & UX),www.udemy.com/course/user-experience-design-for-mobile-apps-websites-ui-ux/,Benjo Sabban,19.99,11.39,3.4(102 ratings),Design,User Experience,User Experience Design,"10,707",English,The Beginner's Guide To User Interface And User Experience Design. No Experience needed!,11/2015,12/31/19
UI Prototyping in Flinto,www.udemy.com/course/ui-prototyping-in-flinto/,Greg Rog,34.99,11.39,4.5(45 ratings),"Design
 ",Design Tools,Prototyping,199,English,Create Interactions and Micro Animations,2/2018,12/31/19
Create engaging 2D Game UI with Inkscape!,www.udemy.com/course/game-ui-design-with-inkscape/,István Szép,54.99,11.39,4.3(34 ratings),Design,Game Design,Inkscape,"1,293",English,Learn 2D game user interface design with a free vector software!,11/2017,12/31/19
Advanced UX Techniques,www.udemy.com/course/advanced-ux-techniques/,Packt Publishing,124.99,11.39,3.5(4 ratings),Design,Design Tools,User Interface,60,English,Get to grips with advanced UX techniques!,10/2018,12/31/19
Create Game UI in 3 different styles,www.udemy.com/course/create-game-ui-in-3-different-styles/,Oksana Mykytiuk,19.99,11.39,3.6(86 ratings),Design,Game Design,Game Art,329,English,Improve your game design skills with new simple techniques and step-by-step tutorial.,3/2016,12/31/19
Building User Interfaces with React.js,www.udemy.com/course/learn-react-js-ui/,Nelson Djalo,49.99,11.39,3.5(48 ratings),Development,Web Development,React,281,English,Learn how to build Awesome UI's,5/2017,12/31/19
Enhancement with Unity UI Advanced,www.udemy.com/course/enhancement-with-unity-ui-advanced/,Packt Publishing,124.99,11.39,3.6(23 ratings),Development,Game Development,Unity,290,English,Become an expert at Unity to build the best Gaming Interface,1/2018,12/31/19
Optimization of UI Design Workflow in Sketch,www.udemy.com/course/optimization-of-ui-design-workflow-in-sketch/,Maksym Snitser,94.99,11.39,3.4(19 ratings),Design,Design Thinking,User Interface,93,English,"Speed up your design process in 2-3 times with this design system, build a solid UI design system for future projects.",12/2017,12/31/19
