Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Business Branding: The Complete Course Part 1 - Strategy,www.udemy.com/course/business-branding-complete-course/,Stephen Houraghan,199.99,11.99,4.7(617 ratings),Marketing,Branding,Business Branding,"3,035",English,"Build A Strategic Brand From The Ground Up, To Catapult Your Marketing Impact",11/2019,01/01/20
Business Branding: The Complete Course Part 2 - Expression,www.udemy.com/course/business-branding-complete-course-2/,Stephen Houraghan,199.99,11.99,4.8(144 ratings),Marketing,Branding,Business Branding,"1,941",English,Express Your Business Brand With Advanced Messaging And Storytelling Frameworks,4/2019,01/01/20
Branding & Marketing for Startups: Learn How To Stand Out,www.udemy.com/course/branding-course-online-how-to-build-outstanding-brand/,Mac Piechota,94.99,11.99,"4.4(1,054 ratings)",Marketing,Branding,Business Branding,"6,758",English,Branding & Marketing Insights: Learn Top Brand Design Strategies To Build Physical Product Brand & Grow Your Business.,10/2019,01/01/20
Business Branding With Personality: Build An Authentic Brand,www.udemy.com/course/branding-with-personality-how-to-build-a-human-brand/,Stephen Houraghan,199.99,11.99,4.6(591 ratings),Marketing,Branding,Business Branding,"2,475",English,The Business Branding Strategy That Empowers Your Brand To Connect With Personality On AÂ Human Level,11/2019,01/01/20
Business Branding - Build An Extraordinary Brand On A Budget,www.udemy.com/course/business-branding-for-startups-small-business-branding-ideas-course/,Sumner Hobart,199.99,11.99,4.7(39 ratings),Marketing,Branding,Business Branding,"1,939",English,"Step-by-step guide to building an extraordinary, data-driven brand on a tight budget for startups & small businesses.",11/2019,01/01/20
Branding Your Business for Growth,www.udemy.com/course/branding-your-business-for-growth/,Eli Natoli,199.99,11.99,4.6(121 ratings),Marketing,Branding,Business Branding,"1,612",English,"Develop an Authentic Brand Strategy for More Effective Marketing, Sales, and More!",9/2019,01/01/20
Employer Branding for Talent Acquisition,www.udemy.com/course/employer-branding/,Phillip Strazzulla,24.99,11.99,4.3(185 ratings),Marketing,Digital Marketing,Business Branding,556,English,HR is becoming marketing - learn how to accelerate your business and career by riding this trend,8/2018,01/01/20
Influencer Marketing: Hire Right Influencers & Track Results,www.udemy.com/course/influencer-marketing-hire-right-influencers-and-track-results/,Alex Genadinik,39.99,11.99,4.5(17 ratings),Marketing,Marketing Fundamentals,Business Branding,995,English,"Use influencer marketing to sell Amazon, Shopify, or other products or services, and run retargeting ads to close sales",12/2019,01/01/20
How To Build A Brand On Social Media! (2018),www.udemy.com/course/foundations-of-social-media/,Everett Bowes,24.99,11.99,4.8(396 ratings),Marketing,Social Media Marketing,Business Branding,"2,248",English,Today's tips for content that connects (and what to avoid)!!,11/2017,01/01/20
Debbie Millman on Branding for Social Change,www.udemy.com/course/debbie-millman-on-branding-for-social-change/,+Acumen Courses,199.99,50.00,4.6(61 ratings),Marketing,Branding,Business Branding,310,English,Learn how to build a strong brand aligned with your social mission and purpose.ââ,8/2018,01/01/20
Branding: How to Brand Yourself and Your Business,www.udemy.com/course/how-to-brand-yourself-and-your-business/,Debbie LaChusa,149.99,11.99,4.3(279 ratings),Marketing,Branding,Business Branding,"3,644",English,"Look More Professional, Eliminate Competition, Stand Out & Attract Attention, Opportunities & More of the Right Clients",7/2015,01/01/20
Step by Step Branding and Customizing Search in SharePoint,www.udemy.com/course/branding-and-customizing-search-in-sharepoint-2016/,Aftab Kashif,99.99,11.99,4.8(43 ratings),IT & Software,Other,Business Branding,"1,548",English,Transform your boring out-of-the-box search results to an exciting UI and create beautiful search pages step by step!,2/2019,01/01/20
How to create brands that people love,www.udemy.com/course/how-to-create-brands-that-people-love/,SJ Tsai,199.99,11.99,4.5(49 ratings),Business,Strategy,Business Branding,"2,670",English,Transform your business into a brand people love in 30 days,12/2018,01/01/20
Certification1 Business Coaching Business Branding FECBC,www.udemy.com/course/business-coaching-part-1-business-branding/,Fearless Entrepreneur Academy |Business Coaching Experts,199.99,11.99,3.8(106 ratings),Marketing,Branding,Business Branding,"1,172",English,Become a Business Branding Coach |Accreditation Credentials Business Branding Business Coach Directory for Level 2 Grads,12/2019,01/01/20
Intro To Branding For Small Businesses,www.udemy.com/course/fundamental-of-branding-for-small-business/,Nour Boustani,19.99,11.99,4.0(256 ratings),Marketing,Branding,Business Branding,"2,913",English,Branding Masterclass : Learn The 5 Steps To Building Your Unique Brand From Ground Up.,9/2018,01/01/20
Business Branding For E-commerce,www.udemy.com/course/business-branding-for-ecommerce-and-online-selling/,Jason Miles,99.99,11.99,4.6(143 ratings),Marketing,Branding,Business Branding,"2,751",English,"Brand A New Product, Brand A Website, or Brand Your Company. Learn To Create A Professional E-commerce Brand Today",11/2017,01/01/20
Business Branding Masterclass™ - Develop a Successful Brand,www.udemy.com/course/business-branding-masterclass/,VSight - Business Development & Branding,199.99,11.39,4.0(37 ratings),Design,Design Tools,Business Branding,"3,827",English,Business Branding: A step-by-step branding guide to help you create a unique brand identity that stands out. Branding,11/2018,01/01/20
Business Branding: Develop a Unique Brand Identity,www.udemy.com/course/business-branding-strategies/,Grid Wire,109.99,11.39,4.3(16 ratings),Marketing,Branding,Business Branding,"1,503",English,Branding: Learn fundamental branding techniques & branding strategies to build a distinctive brand. Branding tools,5/2019,01/01/20
Big Brand Strategies for Small Brands,www.udemy.com/course/big-brand-strategies-for-small-brands/,Barry Silverstein,19.99,11.39,4.5(11 ratings),Marketing,Branding,Business Branding,118,English,"Specific, proven strategies Big Brand marketers use -- tailored to small brands with limited budgets.",7/2014,01/01/20
Branding in 60 minutes,www.udemy.com/course/branding-in-60-minutes/,Ryan Stone,19.99,11.39,4.3(135 ratings),Marketing,Branding,Business Branding,"5,408",English,Build an effective and professional brand in 60 minutes.,3/2015,01/01/20
Brand Evolution - Build an E-Commerce Brand From Scratch,www.udemy.com/course/brand-evolution-build-an-e-commerce-brand-from-scratch/,Manuel Becvar,49.99,11.39,4.2(20 ratings),Business,Entrepreneurship,Business Branding,322,English,If you truly want to build a brand and beat the competition you need to branch out - learn how to build a brand!,11/2017,01/01/20
Digital Marketing For Realtors,www.udemy.com/course/digital-marketing-for-realtors/,Pieter Jordaan,99.99,11.99,4.4(8 ratings),Marketing,Social Media Marketing,Business Branding,"2,759",English,Promote Your Business Using Social Media,4/2019,01/01/20
T-shirt Branding & Packaging Course,www.udemy.com/course/t-shirt-branding-packaging-course/,Gary Ajene,59.99,11.39,3.8(22 ratings),Business,Entrepreneurship,"Business Branding
 ",224,English,The ultimate guide to making Your Little T-shirt Business Look Like a Big Business,7/2017,01/01/20
Branding Guide: Develop a Successful Brand - Branding Tools,www.udemy.com/course/sticky-branding/,Gaby I. Coach,119.99,11.39,3.8(25 ratings),Business,Strategy,Business Branding,"3,559",English,Build an irresistible brand that stands out in a crowded marketplace. Business Branding: Create a unique brand identity,12/2018,01/01/20
Intro to Branding,www.udemy.com/course/branding101/,Everett Bowes,19.99,11.39,4.4(206 ratings),Marketing,Branding,Business Branding,"1,060",English,What Is A Brand?,4/2018,01/01/20
Complete Guide to Branding for Artists,www.udemy.com/course/branding-for-artists-create-your-own-professional-brand/,Mikael Baggström,49.99,11.39,4.6(12 ratings),Marketing,Branding,Business Branding,"1,390",English,Create Your Professional Artist Brand,4/2018,01/01/20
Develop a Successful Beauty Brand by Discovering Your Niche,www.udemy.com/course/develop-a-successful-beauty-brand-by-discovering-your-niche/,Lauren Casgren,99.99,11.39,4.8(2 ratings),Business,Entrepreneurship,Business Branding,"1,904",English,"Step-by-step guide to developing your unique brand for cosmetics, hair care, and personal care products",11/2019,01/01/20
Brand & UX Design: Intro to User Experience for Brands,www.udemy.com/course/uxbranding/,Jamal Nichols,64.99,16.25,4.5(43 ratings),Design,User Experience,Business Branding,186,English,Learn How User Experience Design and Branding Work Together,4/2018,01/01/20
65 Actionable Branding Strategies: 3x Your Traffic,www.udemy.com/course/branding/,iMarket XL,199.99,11.39,3.7(137 ratings),Marketing,Branding,Business Branding,"6,826",English,"Uncommon Ways to Increase Sales, Put Your Brand on the Map, Get Free PR, Become a Celebrity to Your Audience & Go Viral",10/2019,01/01/20
Online Reputation Management For Personal Brand Or Business,www.udemy.com/course/online-reputation-management-personal-brand-small-business/,Alex Genadinik,74.99,11.39,4.3(63 ratings),Marketing,Branding,Personal Branding,"2,997",English,Online reputation management marketing and reputation repair for your personal & professional brand with SEO & LinkedIn,12/2019,01/01/20
Learn to Create Deliverable Brand Identity Package,www.udemy.com/course/learn-to-create-deliverable-brand-identity-package/,Baraq Adnan,19.99,11.39,3.7(7 ratings),Design,Graphic Design,Business Branding,934,English,How to deliver Professional Identity Package,4/2017,01/01/20
NAME For Success - Ultimate Blueprint for Naming A Business,www.udemy.com/course/how-to-name-a-business/,AK Ali,19.99,11.39,4.0(44 ratings),Business,Strategy,Business Branding,"2,384",English,Learn how to create a great memorable name for your business that will start your path to success.,6/2015,01/01/20
"SMB Sales & Network Marketing, MLM Growth Secrets Online",www.udemy.com/course/smb-sales-marketing/,Larry Sharpe,99.99,11.39,5.0(1 rating),Business,Entrepreneurship,Business Branding,12,English,"Learn how to set up your small or medium-sized business the right way, whether it's a traditional business or an MLM",7/2019,01/01/20
Brand Campfire: The Art & Science Of Brand Storytelling,www.udemy.com/course/brand-campfire-storytelling/,Kevin McIntosh,199.99,11.39,4.2(76 ratings),Marketing,Branding,Business Branding,632,English,"Learn the real art & science behind the new ""must-have"" skill for today's marketing professionalsâbrand storytelling.",2/2018,01/01/20
Brand Identity Breakthrough: Make Your Products Irresistible,www.udemy.com/course/brand-identity-breakthrough-module-1/,Gregory Diehl,19.99,11.39,4.4(22 ratings),Business,Entrepreneurship,Business Branding,643,English,How to Create Your Entreprenurial Identity and Your Company's Unique Story,8/2016,01/01/20
How to Start Your Own Fashion Brand,www.udemy.com/course/how-to-start-your-own-fashion-brand/,Academy of Film Fashion and Design,19.99,11.39,3.3(9 ratings),Marketing,Branding,Business Branding,56,English,Turning Your Ideas Into a Successful Fashion Business,5/2017,01/01/20
Business Branding: Designing Custom Logos & Identity Systems,www.udemy.com/course/business-branding-designing-custom-logos-identity-systems/,Class Creatives,199.99,11.39,3.9(5 ratings),Design,Graphic Design,Business Branding,9,English,"From Beginner to Pro: Fundamentals of Graphic Design & Motion Graphics | Adobe Photoshop, Illustrator, After Effects",9/2019,01/01/20
Writing your Business Story to Increase SALES,www.udemy.com/course/the-ultimate-guide-to-creating-a-compelling-business-story/,Meriel Bradley,199.99,11.39,5.0(2 ratings),Marketing,Content Marketing,Business Branding,817,English,"How to build your business story step-by-step for greater success in marketing, networking, sales presentations & more",3/2019,01/01/20
Business Naming Master Course: Business Names & Brand Names,www.udemy.com/course/business-naming-master-course-business-names-brand-names/,Nickie Rowley,19.99,11.39,5.0(1 rating),Business,Strategy,Business Branding,9,English,Learn how to properly create a marketable business name for your business,7/2018,01/01/20
How to Design Brands People Remember and Love,www.udemy.com/course/how-to-design-brands-people-remember-and-love/,Ilya Lobanov,94.99,11.39,4.5(5 ratings),Marketing,Branding,Business Branding,594,English,Introduction to Brand Positioning: Create a Positioning Statement and Tagline,11/2019,01/01/20
Business Branding & Strategy: Craft Your Unique Brand Story,www.udemy.com/course/business-branding-strategy/,Federico Fort,199.99,11.39,4.3(17 ratings),Marketing,Branding,Business Branding,"2,184",English,Learn How to Create an Irresistible Brand on Any Budget & The Most Effective Strategies to 10x Your Marketing Results,9/2018,01/01/20
How To Brand Your Business,www.udemy.com/course/personalize-your-brand/,Everett Bowes,29.99,11.39,4.7(3 ratings),Marketing,Branding,Business Branding,284,English,"The 6 Steps To Customer Connection, Loyalty, and Higher Margins!",3/2018,01/01/20
How to find unique memorable name for your brand or products,www.udemy.com/course/how-to-find-unique-memorable-name-for-your-brand-or-products/,Heba Mahdy,114.99,11.39,4.0(21 ratings),Business,Other,Business Branding,"3,004",English,How to find a sticky name and write slogan for your brand or product using marketing Psychology & neuroscience?,4/2019,01/01/20
Develop a Branding Style Guide for your Business,www.udemy.com/course/build-a-brand-style-guide/,Traci Synatschk,19.99,11.39,3.9(19 ratings),Marketing,Branding,Business Branding,"1,377",English,"Create a consistent, engaging, recognizable brand to help your business grow!",1/2016,01/01/20
Business Branding: Define Your Values & Business Identity,www.udemy.com/course/business-branding/,Grid Wire,109.99,11.39,4.5(11 ratings),Marketing,Branding,Business Branding,"1,839",English,Business Branding: Drive business success by defining your brand values. Business branding strategies & branding tools,4/2019,01/01/20
How to Promote your Clothing Line.,www.udemy.com/course/how-to-sell-your-fashion-line/,Jomsy Fashion,19.99,11.39,4.3(30 ratings),Design,Fashion,Business Branding,"2,227",English,"Learn how to create a brand image, market and sell your fashion line.",4/2017,01/01/20
Brand Alchemy: Create Brand Names that Stick & Sell,www.udemy.com/course/brand-alchemy/,Basim Salim,99.99,11.39,3.8(21 ratings),Marketing,Branding,Business Branding,"1,850",English,"How to make & name your ideas, techniques, and products FAR more valuable using âMagicâ value-creating techniques!",10/2016,01/01/20
THE FINE ART OF BRAND POSITIONING,www.udemy.com/course/the-fine-art-of-brand-positioning/,Sushant Pathak,24.99,11.39,0.0(0 ratings),Marketing,Branding,Business Branding,3,English,Learn the skills of building a powerful brand positioning using easy steps.,9/2019,01/01/20
Branding 101: How To Find Brand Name Ideas For Your Business,www.udemy.com/course/branding-101-how-to-find-brand-name-ideas-for-your-business/,Somenath Sen,84.99,11.99,3.6(6 ratings),Business,Home Business,Business Branding,909,English,Find Brand Name Ideas For Your Home Business With Available Domain Names,1/2016,01/01/20
Branding Your Instagram Grid,www.udemy.com/course/branding-your-instagram-grid/,Haylee Powers,24.99,11.99,5.0(3 ratings),Marketing,Branding,Business Branding,11,English,Create a consistent branded instagram grid with Haylee from Bad B*tch Branding,5/2019,01/01/20
"Fashion Brand Launch: Product ID, Design & Development ",www.udemy.com/course/fashion-brand-launch-product-id-design-development/,Ward & Fifth Consulting,54.99,11.99,3.8(28 ratings),Business,Other,Fashion,"2,095",English,Understanding how an effectively brand and develop your product,3/2016,01/01/20
Business Branding & Marketing: 5 Brand Strategies For Growth,www.udemy.com/course/business-branding-marketing-5-brand-strategies-for-growth-hacking/,Jean-Gabriel Paquette,184.99,11.99,3.7(74 ratings),Marketing,Branding,Business Branding,"2,562",English,"Powerful Steps For Startups & Business Branding To Stand Out, Top Growth Hacking Marketing Strategies For A Strong Brand",10/2017,01/01/20
Be a Brand  - Create and Market Your Own Business Branding!,www.udemy.com/course/brand-new-seven-ways-to-brand-market-sell-you-today/,Stan Hustad,19.99,11.99,4.7(21 ratings),Marketing,Branding,Business Branding,"1,595",English,"Seven new ideas to help you build your own brand, grow your own business, and further your career.",9/2015,01/01/20
"How to Master Branding, Public Relations, & Social Media",www.udemy.com/course/branding-public-relations-social-media-cc/,Jeff Ramos,19.99,11.99,3.5(34 ratings),Marketing,Marketing Fundamentals,Business Branding,"2,557",English,I reveal all the secrets I've used on international brands. Nearly a decade of experience in 2 hours. Enroll now.,9/2014,01/01/20
Brand Ignition: Branding for Business and Product Success,www.udemy.com/course/brand-ignition-branding-for-business-and-product-success/,Matthew Barnett,44.99,11.99,4.2(14 ratings),Marketing,Branding,Business Branding,"2,480",English,A short course in the principals of branding strategy to enable you to confidently promote your business or product .,10/2016,01/01/20
30-minute MBA in Branding,www.udemy.com/course/mini-mba-in-branding/,Dekker Fraser & Associates,19.99,11.99,3.9(29 ratings),Marketing,Branding,Business Branding,"1,324",English,Learn from a former brand manager at Sony with a Kellogg MBA,10/2017,01/01/20
5 Step Creative Process to Branding,www.udemy.com/course/5-step-creative-process-to-branding/,Scott Lavitt,19.99,11.99,4.1(10 ratings),Design,Design Thinking,Business Branding,58,English,Turn your business into a brand that customers love and are willing to pay a premium for.,8/2017,01/01/20
Brand Identity System: Design Beyond A Logo,www.udemy.com/course/brand-identity-system-design-beyond-a-logo/,Ilya Lobanov,94.99,11.99,4.6(6 ratings),Design,Graphic Design,Business Branding,"3,086",English,Learn how I get a virtually 100% approval rate when presenting logo work to clients,11/2019,01/01/20
21st Century Branding | Powerful Brand Building Strategies,www.udemy.com/course/21st-century-brand-building/,Bo Lockwood,19.99,11.99,3.2(24 ratings),Marketing,Branding,Business Branding,"3,025",English,How to Build a Powerful 21st Century Branding Strategy Through Leveraging Behavioral Economics,5/2013,01/01/20
How You Can Become An Online Authority In Any Niche,www.udemy.com/course/how-you-can-become-an-online-authority-in-any-niche/,Mike DeVincent,194.99,11.99,0.0(0 ratings),Business,Strategy,Business Branding,13,English,9 Cool And Totally Non-aggressive Ways That I Use To Build Authority Online!,3/2017,01/01/20
How to build a strong BRAND?,www.udemy.com/course/how-to-build-a-brand-for-yourself-and-for-your-business/,Dana Ohana,119.99,11.99,5.0(1 rating),Marketing,Branding,Business Branding,16,English,Brand building in 6 simple detailed steps,11/2019,01/01/20
Brand Visibility,www.udemy.com/course/brand-visibility/,Susan Newman,19.99,11.99,4.7(2 ratings),Marketing,Branding,Business Branding,41,English,"Communicate Your ""Why"" Clearly, Draw Your Ideal Target Clients, and Build a Brand You're Proud to Showcase.",2/2013,01/01/20
Catapult Conversions: STICKY Website Brand Basics,www.udemy.com/course/brand-basics-catapult-conversions/,"...T Buckman, MBA",19.99,11.99,0.0(0 ratings),Marketing,Branding,Business Branding,3,English,Prerequisite for the 8-Second Secret,5/2017,01/01/20
Branding 101 - The Ultimate Guide - by James Buckley-Thorp,www.udemy.com/course/howtobrand/,James Buckley-Thorp,99.99,11.99,0.0(0 ratings),Marketing,Branding,Business Branding,16,English,"Learn, develop and build your own brand with the guidance of award winning branding expert 'James Buckley-Thorp'.",6/2019,01/01/20
Smarter Branding Without Breaking the Bank,www.udemy.com/course/smarter-branding/,Brenda Bence,99.99,11.99,4.3(25 ratings),Marketing,Branding,Business Branding,499,English,"Contains dozens of practical, low-cost branding techniques to catapult your brand and increase your revenues immediately",6/2012,01/01/20
How To Brand Your Company 101,www.udemy.com/course/how-to-brand-your-company-101/,Jomsy Fashion,19.99,11.99,5.0(1 rating),Marketing,Branding,Business Branding,7,English,Design Your Image,3/2018,01/01/20
The Inside-Out Branding to sell up!,www.udemy.com/course/the-inside-out-branding-to-sell-up/,Carol Zurita,149.99,11.99,0.0(0 ratings),Business,Management,Business Branding,0,English,Increase your Teams' productivity!,9/2019,01/01/20
Branding Basics: Build a brand strategy in 3 simple steps! ,www.udemy.com/course/the-foundation-of-building-a-brand-jeannie-chan/,Jeannie Chan,34.99,11.99,4.0(16 ratings),Marketing,Marketing Fundamentals,Business Branding,"1,151",English,Branding help consumers choose among similar products. Learn the basics to help elevate your brand enabling you to win!,7/2018,01/01/20
Digital Branding MasterClass,www.udemy.com/course/certified-digital-brand-manager/,Sumit Pareek,19.99,11.99,2.5(18 ratings),Business,Entrepreneurship,Business Branding,"1,597",English,Best Course on Digital Brand Management,9/2017,01/01/20
Branding for Start-ups,www.udemy.com/course/branding-for-start-up/,Carol Zurita,19.99,11.99,0.0(0 ratings),Marketing,Branding,Business Branding,1,English,Inexpensinve tactics with massive results in sales,10/2019,01/01/20
BRANDING MASTERY - How to build up an amazing Personal Brand,www.udemy.com/course/personal-branding-for-business/,Scott Paton,199.99,11.99,4.5(7 ratings),Marketing,Branding,Business Branding,"3,481",English,Position yourself as The Authority in your field. Make the First Impression that builds your Reputation,9/2018,01/01/20
How to Build a Brand Online and Build Authority,www.udemy.com/course/brand-building/,Montina Young Portis,24.99,11.99,4.2(2 ratings),Marketing,Social Media Marketing,Business Branding,405,English,Learn EXACTLY how to maximize your time and build a community online with proven strategies & real life examples.,7/2014,01/01/20
Branding for Beginners: Personal or Company Business Brand,www.udemy.com/course/branding-for-beginners-personal-or-company-business-brand/,Tina Barnash,0.0,19.99,0.0(0 ratings),Marketing,Branding,Personal Branding,0,English,"Discover how to create an effective brand strategy, and get a premium, custom logo for your business.",10/2016,01/01/20
How to Build an Excellent Author’s Platform,www.udemy.com/course/how-to-build-an-excellent-authors-platform/,Melissa Saulnier,19.99,11.99,0.0(0 ratings),Personal Development,Career Development,Business Branding,1,English,Branding and Product,6/2018,01/01/20
How to REALLY Profit With Branding: The Grand Brand Sandwich,www.udemy.com/course/grand-brand/,Cheryl B. Engelhardt,49.99,11.99,4.2(6 ratings),Marketing,Branding,Business Branding,288,English,Get your Grand Brand aligned from purpose to profit (plus all the marketing fixin's in between),1/2016,01/01/20
"Renaming Your Business: Should You? And If So, How?",www.udemy.com/course/renaming-your-business/,Marcia Yudkin,34.99,11.99,4.0(11 ratings),Marketing,Branding,Business Branding,64,English,"It's renaming time - or is it? Learn whether your reasons for a name change are valid. If so, get tips for great names.",6/2014,01/01/20
COM Marketing Essentials Course,www.udemy.com/course/com-marketing-essentials/,Richard Toutounji,24.99,11.99,0.0(0 ratings),Marketing,Marketing Fundamentals,Business Branding,1,English,Get the GAINS You Deserve and CRUSH Your Fitness Marketing in 2018,12/2017,01/01/20
Branding: Make Your Products Stand Out And Get Bought,www.udemy.com/course/branding-make-your-products-stand-out-and-get-bought/,Heather K. Woodward,19.99,11.99,3.5(2 ratings),Business,Entrepreneurship,Business Branding,6,English,How To Get People To Pick Your Product Over Others,4/2017,01/01/20
Corporate Branding To Attract & Keep Customers Wanting More,www.udemy.com/course/branding-for-small-business-assess-improve-your-brand/,Success Skills,109.99,11.99,4.1(8 ratings),Marketing,Branding,Business Branding,"2,232",English,Learn what it takes to create a magnetic brand for your business that will support you as you grow your business,1/2014,01/01/20
Branding Strategies To Stand Out From The Rest,www.udemy.com/course/branding-strategies-to-stand-out-from-the-rest/,Obehi Ewanfoh - Aclasses,34.99,11.99,4.1(16 ratings),Marketing,Branding,Business Branding,"2,021",English,Learn How To Brand Your Business In A Way To Remain In The Hearts And Minds Of Your Clients,3/2019,01/01/20
Brand Yourself and Your Business Strategically,www.udemy.com/course/how-to-brand-yourself-and-your-business-strategically/,Ask Chauntel,34.99,11.99,4.4(4 ratings),Business,Strategy,Business Branding,16,English,Branding for Success,5/2017,01/01/20
Would You Date Your Brand?,www.udemy.com/course/would-you-date-your-brand/,Riaan Fourie,49.99,11.99,0.0(0 ratings),Business,Communications,Business Branding,1,English,Helping you build brand value that your audience will stay committed to,1/2018,01/01/20
How to Increase Visibility and Attract Design Clients,www.udemy.com/course/how-to-attract-interior-decorating-clients/,Tarsha McCrae,34.99,11.99,0.0(0 ratings),Business,Sales,Business Branding,0,English,Get started BUILDING your BRAND beyond the visuals!,9/2018,01/01/20
"How to Fix Common Branding Mistakes, for Graphic Designers",www.udemy.com/course/how-to-fix-common-branding-mistakes-for-graphic-designers/,Marcia Hoeck,34.99,11.99,3.8(7 ratings),Design,Graphic Design,Business Branding,36,English,How to Fix Your Mistakes and Gain Client Buy-In for Branding,10/2016,01/01/20
The Power of Branding for Beginners,www.udemy.com/course/branding-guide-creation/,Fadwa Soliman,94.99,11.99,3.8(21 ratings),Marketing,Branding,Business Branding,922,English,Create an easy branding guide with free online tools,8/2019,01/01/20
Nonprofit Branding Techniques,www.udemy.com/course/nonprofit-branding-techniques/,Bill Nissim,0.0,19.99,0.0(0 ratings),Marketing,Branding,Business Branding,0,English,Basic toolkit to create or manage your brand.,11/2019,01/01/20
Intro to Crafting a Powerful Brand,www.udemy.com/course/4-steps-to-creating-a-powerful-brand/,Jaylene Jeanpierre,64.99,19.99,0.0(0 ratings),Design,Design Thinking,Business Branding,0,English,Branding for the Fearless Entrepreneur! Branding allows us to filter our message to reach our dream clients.,8/2019,01/01/20
Secret Formula to Success,www.udemy.com/course/secret-formula-to-success/,Nisandeh Neta,0.0,199.99,4.5(10 ratings),Marketing,Branding,Business Branding,"1,522",English,"Actionable strategies to acquire more clients, charge more and increase your profits",9/2018,01/01/20
Branding for Start Ups,www.udemy.com/course/branding-for-start-ups/,Hannah Price,19.99,11.99,4.0(14 ratings),Marketing,Branding,Business Branding,56,English,Making the right decisions to grow your business,8/2016,01/01/20
Create Brand Messages: Differentiate and Sell More,www.udemy.com/course/differentiate-your-brand-and-sell-more/,Kevin Levi,64.99,19.99,4.3(8 ratings),Marketing,Branding,Business Branding,141,English,"Learn to create a killer elevator pitch and key messages in 90 min; you'll increase sales by 20%, and you'll stand out!",10/2017,01/01/20
Branding & Marketing for Startups: Learn How To Stand Out,www.udemy.com/course/branding-startup/,MillionCourses Learning Solutions,19.99,11.99,3.6(11 ratings),Marketing,Branding,Business Branding,"2,806",English,Branding & Marketing Insights: Learn Top Brand Design Strategies To Build Physical Product Brand & Grow Your Business :),3/2019,01/01/20
How To Find & Buy Premium Looking Domain Names 2019,www.udemy.com/course/domain-names/,MillionCourses Learning Solutions,19.99,11.99,3.1(6 ratings),Marketing,Branding,Business Branding,"2,754",English,"Discover & buy many fantastic .com domain names. Also learn domain check, search, registration, flipping & parking",2/2019,01/01/20
Branding Light Bulb Moments: Marketing In A Big Sea Of Noise,www.udemy.com/course/branding-light-bulb-moments-neuro-marketing-psychology-storytelling/,Kevin McIntosh,199.99,11.99,3.8(3 ratings),Marketing,Branding,Business Branding,17,English,Learn how to engage hyper-distracted audiences by creating game-changing light bulb moment experiences in your marketing,11/2017,01/01/20
Easy Branding Masterclass,www.udemy.com/course/small-easy-steps-to-improve-your-companys-brand/,Bill Clanton,29.99,11.99,4.4(12 ratings),Marketing,Branding,Business Branding,"3,009",English,Practical tips to save you time in your marketing efforts.,3/2018,01/01/20
My BRANDWORTH,www.udemy.com/course/my-brandworth/,Carol Zurita,94.99,11.99,0.0(0 ratings),Business,Entrepreneurship,Business Branding,15,English,BRANDING FOR EMPLOYEES,9/2019,01/01/20
BUSINESS BRANDING TOOLKIT | Customer Attraction & Retention,www.udemy.com/course/business-branding-toolkit/,Genesis Onomiwo,99.99,11.99,3.1(3 ratings),Marketing,Branding,Business Branding,"1,249",English,How To Make Your Brand Stick and Attract The Right Customers,7/2018,01/01/20
Business Branding - A Beginner's Comprehensive Blueprint,www.udemy.com/course/business-branding-a-beginners-comprehensive-blueprint/,Brent Dalley,39.99,11.99,4.4(3 ratings),Marketing,Branding,Business Branding,"1,056",English,The success of your company can be determined by your brand.,1/2018,01/01/20
BUSINESS BRANDING TOOLKIT | Customer Attraction & Retention,www.udemy.com/course/business-branding-toolkit/,Genesis Onomiwo,99.99,11.99,3.1(3 ratings),Marketing,Branding,Business Branding,"1,249",English,How To Make Your Brand Stick and Attract The Right Customers,7/2018,01/01/20
Rock-Solid Brands,www.udemy.com/course/rock-solid-brands/,Joseph Caserto,19.99,11.99,4.3(4 ratings),Design,Graphic Design,Business Branding,136,English,A successful brand identity is built to last. See how it's done by studying these famous household names.,2/2016,01/01/20
Brand Strategy: how to build a catchy market positioning,www.udemy.com/course/brand-strategy-how-to-build-a-catchy-market-positioning/,Josette Verwijst,199.99,11.99,0.0(0 ratings),Marketing,Branding,Business Branding,0,English,Hey entrepreneur! Stand out from the crowd & attract clients like a magnet,11/2019,01/01/20
